,Symbol,Name,Company is Active,Company Founded Date,Country of Primary Listing Iso3,CUSIP,Date Of First Trade,Entity Country HQ,Entity Credit Parent,NACE,Exchange Name (FS),FE Ticker,ISIN,Primary Equity Listing,Proper Name,Public Company,Region Ticker,Sec is Primary Issue,Sec Type,SEDOL,NACE_letter,Report
5789,ZW0009011041,Ariston Holdings Ltd.,1,1947.0,ZWE,V97772103,20090317.0,ZWE,@NA,1.19,ZIMBABWE,ARIS-ZW,ZW0009011041,603408,Ariston Holdings Ltd.,1.0,ARIS-ZW,1,SHARE,6034081,A,Ariston Holdings Ltd.1.pdf
35816,INE978A01027,Heritage Foods Limited,1,1992.0,IND,Y3179H146,20020117.0,IND,06FQLY-E,1.41,BSE INDIA,519552-IN,INE978A01027,BF2F40,Heritage Foods Limited,1.0,519552-IN,1,SHARE,BF2F405,A,Heritage Foods Limited1.pdf
80373,MYL7854OO002,Timberwell Bhd.,1,1996.0,MYS,Y88399103,19970516.0,MYS,05JH15-E,2.3,MALAYSIA,7854-MY,MYL7854OO002,690556,Timberwell Bhd.,1.0,7854-MY,1,SHARE,6905563,A,Timberwell Bhd.1.pdf
49813,MYQ0189OO009,Matang Bhd.,1,2015.0,MYS,Y58347108,20170117.0,MYS,@NA,1.19,MALAYSIA,0189-MY,MYQ0189OO009,BYYQB5,Matang Bhd.,1.0,0189-MY,1,SHARE,BYYQB53,A,Matang Bhd.2.pdf
73064,MYL4316OO005,Sin Heng Chan (Malaya) Bhd.,1,1962.0,MYS,Y80178109,19880324.0,MYS,05YMQ5-E,1.19,MALAYSIA,4316-MY,MYL4316OO005,681088,Sin Heng Chan (Malaya) Bhd.,1.0,4316-MY,1,SHARE,6810883,A,Sin Heng Chan (Malaya) Bhd.1.pdf
78770,CNE100000056,"Tech-bank Food Co., Ltd.",1,1996.0,CHN,Y62988103,20161205.0,CHN,06V3HM-E,1.46,SHENZHEN CONNECT,002124-SEC,CNE100000056,B1Q7L5,"Tech-bank Food Co., Ltd.",1.0,@NA,0,SHARE,BD6QWR3,A,"Tech-bank Food Co., Ltd.3.pdf"
53562,AU000000NAM1,Namoi Cotton Ltd,1,1962.0,AUS,Q6518L107,19980406.0,AUS,05JG1Z-E,1.63,ASX,NAM-AU,AU000000NAM1,610827,Namoi Cotton Ltd,1.0,NAM-AU,1,SHARE,6108276,A,Namoi Cotton Ltd1.pdf
6889,NO0010768500,Atlantic Sapphire ASA,1,2010.0,NOR,R07217103,20180502.0,NOR,0H3Y0F-E,3.11,US OTC,@NA,NO0010768500,BDFG5D,Atlantic Sapphire ASA,1.0,AASZF-US,0,SHARE,BD97BR6,A,Atlantic Sapphire ASA1.pdf
2019,NA000A1KCRP0,Agra Limited,0,1946.0,NAM,V0084H107,20130208.0,NAM,@NA,1.19,NAMIBIA,AGR-NA,NA000A1KCRP0,B8HMQ8,Agra Limited,1.0,AGR-NA,0,SHARE,B8HMQ84,A,Agra Limited2.pdf
37408,KYG4643W1078,Huisheng International Holdings Ltd.,1,2007.0,HKG,G4643W107,20140228.0,CHN,0DL9XN-E,1.46,HONG KONG,1340-HK,KYG4643W1078,BJYNJ1,Huisheng International Holdings Ltd.,1.0,1340-HK,1,SHARE,BJYNJ11,A,Huisheng International Holdings Ltd.3.pdf
