Unnamed: 0,Symbol,Name,Company is Active,Company Founded Date,Country of Primary Listing Iso3,CUSIP,Date Of First Trade,Entity Country HQ,Entity Credit Parent,NACE,Exchange Name (FS),FE Ticker,ISIN,Primary Equity Listing,Proper Name,Public Company,Region Ticker,Sec is Primary Issue,Sec Type,SEDOL,NACE_letter,Report,NACE_lvl_3
2,ID1000167901,PT Cilacap Samudera Fishing Industry Tbk,0,1999.0,IDN,Y129H6108,20220527.0,IDN,@NA,3.12,INDONESIA,ASHA-ID,ID1000167901,BMBMZG,PT Cilacap Samudera Fishing Industry Tbk,1.0,ASHA-ID,0,SHARE,BMBMZG9,A,PT Cilacap Samudera Fishing Industry Tbk3.pdf,03.1
10,ARP331091024,Cresud SA,1,1936.0,ARG,P3311R127,19850102.0,ARG,001MSF-E,1.61,BUENOS AIRES,CRES-AR,ARP331091024,223338,Cresud SA,1.0,CRES-AR,1,SHARE,2233387,A,Cresud SA1.pdf,01.6
11,LU0611262873,KSG Agro SA,1,2010.0,POL,L5903L107,20110505.0,UKR,0BRK63-E,1.5,WARSAW,KSG-PL,LU0611262873,B42XFB,KSG Agro SA,1.0,KSG-PL,1,SHARE,B42XFB0,A,KSG Agro SA1.pdf,01.5
15,LK0297N00008,Kahawatte Plantations PLC,1,1992.0,LKA,Y44954108,19990610.0,LKA,081QN4-E,1.61,COLOMBO,KAHA.N0000-LK,LK0297N00008,613927,Kahawatte Plantations PLC,1.0,KAHA.N0000-LK,1,SHARE,6139276,A,Kahawatte Plantations PLC1.pdf,01.6
16,INE594O01015,R J Bio-Tech Ltd.,0,2005.0,IND,Y73126107,20130925.0,IND,@NA,1.5,BSE INDIA,@NA,INE594O01015,BF49P8,R J Bio-Tech Ltd.,1.0,536456-IN,0,SHARE,BF49P80,A,R J Bio-Tech Ltd.2.pdf,01.5
21,AU000000CSS3,Clean Seas Seafood Limited,1,2000.0,AUS,Q2508T119,20051212.0,AUS,007SZ9-E,3.21,ASX,CSS-AU,AU000000CSS3,B0PFW9,Clean Seas Seafood Limited,1.0,CSS-AU,1,SHARE,B0PFW92,A,Clean Seas Seafood Limited2.pdf,03.2
25,NO0010310956,SalMar ASA,1,1991.0,NOR,R7445C102,20070508.0,NOR,05LH44-E,3.21,OSLO,SALM-NO,NO0010310956,B1W5NW,SalMar ASA,1.0,SALM-NO,1,SHARE,B1W5NW2,A,SalMar ASA1.pdf,03.2
27,PLBMSEP00011,Biomass Energy Project SA,1,2011.0,POL,X0R3ZY106,20121207.0,POL,@NA,1.63,WARSAW,@NA,PLBMSEP00011,B7HKL8,Biomass Energy Project SA,1.0,BEP-PL,1,SHARE,B7HKL86,A,Biomass Energy Project SA2.pdf,01.6
29,MYL2135OO001,Gopeng Bhd.,1,1912.0,MYS,Y28179102,19850731.0,MYS,@NA,1.61,MALAYSIA,2135-MY,MYL2135OO001,637859,Gopeng Bhd.,1.0,2135-MY,1,SHARE,6378596,A,Gopeng Bhd.2.pdf,01.6
35,AU000000CSS3,Clean Seas Seafood Limited,1,2000.0,AUS,Q2508T119,20071026.0,AUS,007SZ9-E,3.21,US OTC,@NA,AU000000CSS3,B0PFW9,Clean Seas Seafood Limited,1.0,CTUNF-US,0,SHARE,B1CP173,A,Clean Seas Seafood Limited2.pdf,03.2
50,KR7030720007,"Dongwon Fisheries Co., Ltd",1,1970.0,KOR,Y2098M103,19961007.0,KOR,062H0Q-E,3.21,KOREA,030720-KR,KR7030720007,626257,"Dongwon Fisheries Co., Ltd",1.0,030720-KR,1,SHARE,6262570,A,"Dongwon Fisheries Co., Ltd1.pdf",03.2
51,CA5475721075,"Lowell Farms, Inc.",1,2005.0,CAN,547572107,20190501.0,USA,0KVW5Q-E,1.5,US OTC,@NA,CA5475721075,BMV3MM,"Lowell Farms, Inc.",1.0,LOWLF-US,0,SHARE,BMVC5P8,A,"Lowell Farms, Inc.1.pdf",01.5
52,MYQ0095OO008,MAG Holdings Berhad,1,2004.0,MYS,Y4737L108,20050823.0,MYS,007H5C-E,3.21,MALAYSIA,@NA,MYQ0095OO008,B0HWY4,MAG Holdings Berhad,1.0,0095-MY,1,SHARE,B0HWY40,A,MAG Holdings Berhad1.pdf,03.2
59,INE448G01010,Nath Bio-Genes (India) Ltd.,1,1993.0,IND,Y6S00H102,20140128.0,IND,@NA,1.5,BSE INDIA,537291-IN,INE448G01010,BJBPXY,Nath Bio-Genes (India) Ltd.,1.0,537291-IN,1,SHARE,BJBPXY1,A,Nath Bio-Genes (India) Ltd.1.pdf,01.5
61,CL0001763912,Empresas AquaChile S.A.,1,1998.0,CHL,P3764P107,20110519.0,CHL,00B15R-E,3.21,SANTIAGO,AQUACHILE-CL,CL0001763912,B4R4YK,Empresas AquaChile S.A.,1.0,AQUACHILE-CL,1,SHARE,B4R4YK0,A,Empresas AquaChile S.A.3.pdf,03.2
62,FDSF2C04,Balangoda Plantations PLC,1,1992.0,LKA,FDSF2C047,,LKA,081QMY-E,1.61,@NA,@NA,@NA,607300,Balangoda Plantations PLC,1.0,@NA,0,SHARE,@NA,A,Balangoda Plantations PLC1.pdf,01.6
74,NO0010829765,Andfjord Salmon AS,1,2014.0,NOR,R0R33Y108,20190827.0,NOR,0JQDXX-E,3.21,OSLO,ANDF-NO,NO0010829765,BJGTLN,Andfjord Salmon AS,1.0,ANDF-NO,1,SHARE,BJGTLN3,A,Andfjord Salmon AS1.pdf,03.2
75,JP3962200006,"Yonkyu Co., Ltd.",1,1963.0,JPN,J9777L105,19931126.0,JPN,@NA,3.21,TOKYO,9955-JP,JP3962200006,688996,"Yonkyu Co., Ltd.",1.0,9955-JP,1,SHARE,6889968,A,"Yonkyu Co., Ltd.1.pdf",03.2
76,AU0000195000,Rare Foods Australia Ltd,1,2011.0,AUS,Q70560133,20171114.0,AUS,@NA,3.21,ASX,RFA-AU,AU0000195000,BNKLVH,Rare Foods Australia Ltd,1.0,RFA-AU,1,SHARE,BNKLVH7,A,Rare Foods Australia Ltd1.pdf,03.2
77,NGELLAHLAKE8,Ellah Lakes Plc,1,1980.0,NGA,V32442101,20000502.0,NGA,@NA,3.21,NIGERIA,@NA,NGELLAHLAKE8,622580,Ellah Lakes Plc,1.0,ELLAHLAKES-NG,1,SHARE,6225807,A,Ellah Lakes Plc2.pdf,03.2
78,US22905K1051,Cryomass Technologies Inc.,1,2011.0,USA,22905K105,20140602.0,USA,00DXPV-E,1.5,US OTC,@NA,US22905K1051,22905K10,Cryomass Technologies Inc.,1.0,CRYM-US,1,SHARE,BMYTJC1,A,Cryomass Technologies Inc.1.pdf,01.5
82,NO0010310956,SalMar ASA,1,1991.0,NOR,R7445C102,20081006.0,NOR,05LH44-E,3.21,LONDON,@NA,NO0010310956,B1W5NW,SalMar ASA,1.0,0FWY-GB,0,SHARE,B28LPG9,A,SalMar ASA1.pdf,03.2
83,LK0286N00001,Balangoda Plantations PLC,1,1992.0,LKA,Y0549K106,19980603.0,LKA,081QMY-E,1.61,COLOMBO,BALA.N0000-LK,LK0286N00001,607300,Balangoda Plantations PLC,1.0,BALA.N0000-LK,1,SHARE,6073006,A,Balangoda Plantations PLC1.pdf,01.6
87,FI4000496328,FIFAX Plc,0,2012.0,FIN,X2878J107,20211025.0,ALA,@NA,3.21,OMX NORDIC HELSINKI,FIFAX-FI,FI4000496328,BMV4YF,FIFAX Plc,1.0,FIFAX-FI,0,SHARE,BMV4YF7,A,FIFAX Plc1.pdf,03.2
89,NZSANE0001S0,Sanford Limited,1,1881.0,NZL,Q82719164,19870506.0,NZL,05HN6F-E,3.21,NEW ZEALAND,SAN-NZ,NZSANE0001S0,677418,Sanford Limited,1.0,SAN-NZ,1,SHARE,6774183,A,Sanford Limited1.pdf,03.2
97,KR7086060001,"Gene Bio Tech Co., Ltd.",1,2000.0,KOR,Y2684U105,20060428.0,KOR,07D351-E,1.63,KOREA,@NA,KR7086060001,B11R10,"Gene Bio Tech Co., Ltd.",1.0,086060-KR,1,SHARE,B11R103,A,"Gene Bio Tech Co., Ltd.1.pdf",01.6
98,INE112B01013,Omega Ag-Seeds (Punjab) Ltd.,1,1992.0,IND,Y64753117,20110420.0,IND,@NA,1.61,BSE INDIA,@NA,INE112B01013,B03M0C,Omega Ag-Seeds (Punjab) Ltd.,1.0,519479-IN,1,SHARE,B03M0C4,A,Omega Ag-Seeds (Punjab) Ltd.3.pdf,01.6
200,CA53272L2021,Liminal BioSciences Inc.,1,1994.0,USA,53272L202,20120515.0,CAN,003PH0-E,21.1,NASDAQ,LMNL-US,CA53272L2021,53272L20,Liminal BioSciences Inc.,1.0,LMNL-US,1,SHARE,BQXLM50,C,Liminal BioSciences Inc.1.pdf,21.1
203,FR0013183985,Gensight Biologics SA,1,2012.0,FRA,F4374K117,20160713.0,FRA,0D2XZT-E,21.2,EURONEXT PARIS,SIGHT-FR,FR0013183985,BD07M0,Gensight Biologics SA,1.0,SIGHT-FR,1,SHARE,BD07M05,C,Gensight Biologics SA1.pdf,21.2
206,AT0000A18XM4,ams-OSRAM AG,1,1981.0,CHE,A0400Q115,20080423.0,AUT,05ZTWT-E,26.11,US OTC,@NA,AT0000A18XM4,BPF054,ams-OSRAM AG,1.0,AUKUF-US,0,SHARE,BPFJ772,C,ams-OSRAM AG1.pdf,26.1
207,FDS0SZ3K,Kiniksa Pharmaceuticals Ltd.,1,2015.0,USA,FDS0SZ3K2,,USA,@NA,21.2,@NA,@NA,@NA,G5269C10,Kiniksa Pharmaceuticals Ltd.,1.0,@NA,0,SHARE,@NA,C,Kiniksa Pharmaceuticals Ltd.1.pdf,21.2
208,KYG4644K1022,Hua Medicine Ltd.,1,2009.0,HKG,G4644K102,20180914.0,CHN,0C853K-E,21.2,HONG KONG,2552-HK,KYG4644K1022,BF3S3D,Hua Medicine Ltd.,1.0,2552-HK,1,SHARE,BF3S3D9,C,Hua Medicine Ltd.1.pdf,21.2
215,MYQ0128OO007,Frontken Corp. Bhd.,1,1996.0,MYS,Y26510100,20060711.0,MYS,06HKDD-E,26.11,MALAYSIA,0128-MY,MYQ0128OO007,B18TLC,Frontken Corp. Bhd.,1.0,0128-MY,1,SHARE,B18TLC4,C,Frontken Corp. Bhd.1.pdf,26.1
219,US0326541051,"Analog Devices, Inc.",0,1965.0,USA,032654105,19981201.0,USA,000C4B-E,26.11,FRANKFURT,@NA,US0326541051,03265410,"Analog Devices, Inc.",1.0,ANL-DE,0,SHARE,5579130,C,"Analog Devices, Inc.1.pdf",26.1
