Symbol,Description_page,Unnamed: 0,Name,Company is Active,Company Founded Date,Country of Primary Listing Iso3,CUSIP,Date Of First Trade,Entity Country HQ,Entity Credit Parent,NACE,Exchange Name (FS),FE Ticker,ISIN,Primary Equity Listing,Proper Name,Public Company,Region Ticker,Sec is Primary Issue,Sec Type,SEDOL,NACE_letter,Report,NACE_lvl_3,NACE_lvl_2
CA05335P1099,,0,Auxly Cannabis Group Inc.,1,1987.0,CAN,05335P109,19960301.0,CAN,003V9K-E,1.3,TORONTO,XLY-CA,CA05335P1099,BDGMQB,Auxly Cannabis Group Inc.,1.0,XLY-CA,1,SHARE,BDGMQB3,A,Auxly Cannabis Group Inc.2.pdf,01.3,1
JP3947800003,,1,"MEGMILK SNOW BRAND Co., Ltd.",1,2009.0,JPN,J41966102,20220727.0,JPN,0833Y1-E,1.41,US OTC,@NA,JP3947800003,B3ZC07,"MEGMILK SNOW BRAND Co., Ltd.",1.0,MMSBF-US,0,SHARE,BKQN701,A,"MEGMILK SNOW BRAND Co., Ltd.2.pdf",01.4,1
ID1000167901,,2,PT Cilacap Samudera Fishing Industry Tbk,0,1999.0,IDN,Y129H6108,20220527.0,IDN,@NA,3.12,INDONESIA,ASHA-ID,ID1000167901,BMBMZG,PT Cilacap Samudera Fishing Industry Tbk,1.0,ASHA-ID,0,SHARE,BMBMZG9,A,PT Cilacap Samudera Fishing Industry Tbk3.pdf,03.1,3
JP3843250006,,3,Hokuto Corporation,1,1964.0,JPN,J2224T102,19941202.0,JPN,05HY7N-E,1.3,TOKYO,1379-JP,JP3843250006,643271,Hokuto Corporation,1.0,1379-JP,1,SHARE,6432715,A,Hokuto Corporation1.pdf,01.3,1
VN000000VTQ6,,4,Viet Trung Quang Binh Joint Stock Co,0,1961.0,VNM,Y937XS108,,VNM,@NA,2.3,HANOI,@NA,VN000000VTQ6,BMCR2W,Viet Trung Quang Binh Joint Stock Co,1.0,VTQ-VN,0,SHARE,BMCR2W8,A,Viet Trung Quang Binh Joint Stock Co3.pdf,02.3,2
MYL9776OO005,,5,Sinmah Capital Bhd,1,1994.0,MYS,Y8020Z104,19960417.0,MYS,05JHFK-E,1.47,MALAYSIA,9776-MY,MYL9776OO005,680913,Sinmah Capital Bhd,1.0,9776-MY,1,SHARE,6809137,A,Sinmah Capital Bhd2.pdf,01.4,1
US91532E1055,,6,Unrivaled Brands Inc,1,2008.0,USA,91532E105,20110318.0,USA,00BN7S-E,1.19,US OTC,@NA,US91532E1055,91532E10,Unrivaled Brands Inc,1.0,UNRV-US,1,SHARE,BKX7FG8,A,Unrivaled Brands Inc3.pdf,01.1,1
CA75867R1047,,7,Refined Metals Corp,1,2013.0,CAN,75867R104,20170605.0,CAN,0JS8DD-E,1.19,CNQ,@NA,CA75867R1047,BPBRTM,Refined Metals Corp,1.0,RMC-CA,1,SHARE,BPBRTM9,A,Refined Metals Corp1.pdf,01.1,1
MYL7176OO000,,8,TPC Plus Bhd.,1,1978.0,MYS,Y8937B109,20031218.0,MYS,006507-E,1.47,MALAYSIA,7176-MY,MYL7176OO000,672565,TPC Plus Bhd.,1.0,7176-MY,1,SHARE,6725653,A,TPC Plus Bhd.3.pdf,01.4,1
INE233P01017,,9,Saptarishi Agro Industries Ltd.,1,1992.0,IND,Y7T169117,20041223.0,IND,@NA,1.3,BSE INDIA,@NA,INE233P01017,BCZSGM,Saptarishi Agro Industries Ltd.,1.0,519238-IN,1,SHARE,BCZSGM6,A,Saptarishi Agro Industries Ltd.2.pdf,01.3,1
ARP331091024,,10,Cresud SA,1,1936.0,ARG,P3311R127,19850102.0,ARG,001MSF-E,1.61,BUENOS AIRES,CRES-AR,ARP331091024,223338,Cresud SA,1.0,CRES-AR,1,SHARE,2233387,A,Cresud SA1.pdf,01.6,1
LU0611262873,,11,KSG Agro SA,1,2010.0,POL,L5903L107,20110505.0,UKR,0BRK63-E,1.5,WARSAW,KSG-PL,LU0611262873,B42XFB,KSG Agro SA,1.0,KSG-PL,1,SHARE,B42XFB0,A,KSG Agro SA1.pdf,01.5,1
FDS18XV9,,12,"Shandong Fengxiang Co., Ltd.",1,1996.0,HKG,FDS18XV91,,CHN,08KLR8-E,1.47,@NA,@NA,@NA,BMHWY6,"Shandong Fengxiang Co., Ltd.",1.0,@NA,0,SHARE,@NA,A,"Shandong Fengxiang Co., Ltd.1.pdf",01.4,1
CA92556L1085,,13,Vibe Growth Corporation,1,2011.0,CAN,92556L108,20190405.0,CAN,0KS9TH-E,1.3,US OTC,@NA,CA92556L1085,BJH82S,Vibe Growth Corporation,1.0,VIBEF-US,0,SHARE,BJV9BS3,A,Vibe Growth Corporation3.pdf,01.3,1
US54928U1097,,14,"Luca, Inc.",0,2008.0,USA,54928U109,20100119.0,CHN,09SK21-E,1.13,US OTC,LUCC-US,US54928U1097,54928U10,"Luca, Inc.",1.0,LUCC-US,1,SHARE,BD8RLZ5,A,"Luca, Inc.2.pdf",01.1,1
LK0297N00008,,15,Kahawatte Plantations PLC,1,1992.0,LKA,Y44954108,19990610.0,LKA,081QN4-E,1.61,COLOMBO,KAHA.N0000-LK,LK0297N00008,613927,Kahawatte Plantations PLC,1.0,KAHA.N0000-LK,1,SHARE,6139276,A,Kahawatte Plantations PLC1.pdf,01.6,1
INE594O01015,,16,R J Bio-Tech Ltd.,0,2005.0,IND,Y73126107,20130925.0,IND,@NA,1.5,BSE INDIA,@NA,INE594O01015,BF49P8,R J Bio-Tech Ltd.,1.0,536456-IN,0,SHARE,BF49P80,A,R J Bio-Tech Ltd.2.pdf,01.5,1
CA13765U2002,,17,"Cannara Biotech, Inc.",1,2017.0,CAN,13765U200,20190118.0,CAN,0JR0W6-E,1.3,US OTC,@NA,CA13765U2002,BMZMHL,"Cannara Biotech, Inc.",1.0,LOVFF-US,0,SHARE,BMZMHM5,A,"Cannara Biotech, Inc.1.pdf",01.3,1
RO87WII43RS1,,18,DN Agrar Group S.A,0,,ROU,X1841M106,,ROU,@NA,1.41,BUCHAREST SPOT,@NA,RO87WII43RS1,BMC50N,DN Agrar Group S.A,1.0,DN-RO,0,SHARE,BMC50N9,A,DN Agrar Group S.A1.pdf,01.4,1
BE0003898187,,19,SIPEF group,1,1919.0,BEL,B7911E134,20080730.0,BEL,05J9FN-E,1.19,LONDON,@NA,BE0003898187,481174,SIPEF group,1.0,0JSU-GB,0,SHARE,B28MH66,A,SIPEF group3.pdf,01.1,1
US09689V1008,,20,Body & Mind Inc.,1,1998.0,CAN,09689V100,20120124.0,CAN,0HR2VH-E,1.3,CNQ,@NA,US09689V1008,BFD4XL,Body & Mind Inc.,1.0,BAMM-CA,1,SHARE,BFD4XL5,A,Body & Mind Inc.1.pdf,01.3,1
AU000000CSS3,,21,Clean Seas Seafood Limited,1,2000.0,AUS,Q2508T119,20051212.0,AUS,007SZ9-E,3.21,ASX,CSS-AU,AU000000CSS3,B0PFW9,Clean Seas Seafood Limited,1.0,CSS-AU,1,SHARE,B0PFW92,A,Clean Seas Seafood Limited2.pdf,03.2,3
CA68405H1001,,22,Optimi Health Corp.,1,2020.0,CAN,68405H100,20210225.0,CAN,@NA,1.3,CNQ,@NA,CA68405H1001,BMDKP9,Optimi Health Corp.,1.0,OPTI-CA,1,SHARE,BMDKP94,A,Optimi Health Corp.1.pdf,01.3,1
INE008Z01020,,23,Shree Ram Proteins Ltd.,1,2008.0,IND,Y7764A127,20180205.0,IND,@NA,1.19,NSE INDIA,@NA,INE008Z01020,BP4Y40,Shree Ram Proteins Ltd.,1.0,SRPL-IN,1,SHARE,BP4Y400,A,Shree Ram Proteins Ltd.1.pdf,01.1,1
NO0010310956,,25,SalMar ASA,1,1991.0,NOR,R7445C102,20070508.0,NOR,05LH44-E,3.21,OSLO,SALM-NO,NO0010310956,B1W5NW,SalMar ASA,1.0,SALM-NO,1,SHARE,B1W5NW2,A,SalMar ASA1.pdf,03.2,3
US3930572033,,26,Green Hygienics Holdings Inc.,1,2008.0,USA,393057203,20110311.0,USA,00BGWW-E,1.3,US OTC,@NA,US3930572033,39305720,Green Hygienics Holdings Inc.,1.0,GRYN-US,1,SHARE,BY9CSC2,A,Green Hygienics Holdings Inc.1.pdf,01.3,1
PLBMSEP00011,,27,Biomass Energy Project SA,1,2011.0,POL,X0R3ZY106,20121207.0,POL,@NA,1.63,WARSAW,@NA,PLBMSEP00011,B7HKL8,Biomass Energy Project SA,1.0,BEP-PL,1,SHARE,B7HKL86,A,Biomass Energy Project SA2.pdf,01.6,1
GG00BDG13C09,,28,Agriterra Ltd,1,2004.0,GBR,G0129M118,20050210.0,MOZ,006WC2-E,1.42,LONDON,AGTA-GB,GG00BDG13C09,BDG13C,Agriterra Ltd,1.0,AGTA-GB,1,SHARE,BDG13C0,A,Agriterra Ltd1.pdf,01.4,1
MYL2135OO001,,29,Gopeng Bhd.,1,1912.0,MYS,Y28179102,19850731.0,MYS,@NA,1.61,MALAYSIA,2135-MY,MYL2135OO001,637859,Gopeng Bhd.,1.0,2135-MY,1,SHARE,6378596,A,Gopeng Bhd.2.pdf,01.6,1
BMG0620W2019,,30,Asian Citrus Holdings Limited,1,2003.0,HKG,G0620W201,20091126.0,HKG,@NA,1.26,HONG KONG,73-HK,BMG0620W2019,B4R29H,Asian Citrus Holdings Limited,1.0,73-HK,1,SHARE,B4R29H6,A,Asian Citrus Holdings Limited2.pdf,01.2,1
CA39328G1072,,31,Green Rise Foods Inc,1,2017.0,CAN,39328G107,20171129.0,CAN,0HG22V-E,1.13,TSX VENTURE,@NA,CA39328G1072,39328G10,Green Rise Foods Inc,1.0,GRF-CA,1,SHARE,BN6N9B7,A,Green Rise Foods Inc1.pdf,01.1,1
US36255V1070,,33,"GSRX Industries, Inc.",0,2006.0,USA,36255V107,20071218.0,USA,0H360B-E,1.19,US OTC,@NA,US36255V1070,36255V10,"GSRX Industries, Inc.",1.0,GSRX-US,1,SHARE,BYVJCG3,A,"GSRX Industries, Inc.1.pdf",01.1,1
CA45074T1021,,34,"iAnthus Capital Holdings, Inc.",1,2013.0,CAN,45074T102,20160908.0,USA,0GHTT0-E,1.19,US OTC,ITHUF-US,CA45074T1021,BD1R60,"iAnthus Capital Holdings, Inc.",1.0,ITHUF-US,0,SHARE,BD5M5C8,A,"iAnthus Capital Holdings, Inc.1.pdf",01.1,1
INE857P01021,,36,Shivamshree Businesses Ltd.,0,1983.0,IND,Y7938J137,20140704.0,IND,0DS2BJ-E,1.41,BSE INDIA,@NA,INE857P01021,BTN1V0,Shivamshree Businesses Ltd.,1.0,538520-IN,0,SHARE,BTN1V09,A,Shivamshree Businesses Ltd.2.pdf,01.4,1
