Unnamed: 0;Symbol;Name;Company is Active;Company Founded Date;Country of Primary Listing Iso3;CUSIP;Date Of First Trade;Entity Country HQ;Entity Credit Parent;NACE;Exchange Name (FS);FE Ticker;ISIN;Primary Equity Listing;Proper Name;Public Company;Region Ticker;Sec is Primary Issue;Sec Type;SEDOL;NACE_Letter;Report;NACE_lvl_3;description_page;
103;FR0013183985;Gensight Biologics SA;1;2012.0;FRA;F4374K117;20160713.0;FRA;0D2XZT-E;21.2;EURONEXT PARIS;SIGHT-FR;FR0013183985;BD07M0;Gensight Biologics SA;1.0;SIGHT-FR;1;SHARE;BD07M05;C;Gensight Biologics SA1.pdf;21.2;1;
462;GB00BYN5BY03;Hybrid Software Group PLC;1;2013.0;BEL;G3971B107;20010417.0;GBR;@NA;58.29;EURONEXT BRUSSELS;HYSG-BE;GB00BYN5BY03;BYN5BY;Hybrid Software Group PLC;1.0;HYSG-BE;1;SHARE;BYN5BY0;J;Hybrid Software Group PLC1.pdf;58.2;2;
651;BMG8766E1093;Textainer Group Holdings Limited;1;1979.0;USA;G8766E109;20191211.0;BMU;06679M-E;77.39;JSE;TXT-ZA;BMG8766E1093;G8766E10;Textainer Group Holdings Limited;1.0;TXT-ZA;0;SHARE;BKDZ8P2;N;Textainer Group Holdings Limited1.pdf;77.3;2;
539;AEA005901011;Amanat Holding PJSC;1;2014.0;ARE;M08598100;20141201.0;ARE;0DXMW8-E;64.99;DUBAI;AMANAT-AE;AEA005901011;BSZM27;Amanat Holding PJSC;1.0;AMANAT-AE;1;SHARE;BSZM277;K;Amanat Holding PJSC1.pdf;64.9;3;
530;US13738M1036;Cancer Capital Corp.;1;1997.0;USA;13738M103;20111017.0;USA;0035Y3-E;64.99;US OTC;@NA;US13738M1036;13738M10;Cancer Capital Corp.;1.0;CNCL-US;1;SHARE;B6TVP88;K;Cancer Capital Corp.2.pdf;64.9;3;
21;AU000000CSS3;Clean Seas Seafood Limited;1;2000.0;AUS;Q2508T119;20051212.0;AUS;007SZ9-E;3.21;ASX;CSS-AU;AU000000CSS3;B0PFW9;Clean Seas Seafood Limited;1.0;CSS-AU;1;SHARE;B0PFW92;A;Clean Seas Seafood Limited2.pdf;03.2;3;
532;US27579R1041;East West Bancorp, Inc.;1;1998.0;USA;27579R104;19990208.0;USA;0026S8-E;64.19;NASDAQ;EWBC-US;US27579R1041;27579R10;East West Bancorp, Inc.;1.0;EWBC-US;1;SHARE;2487407;K;East West Bancorp, Inc.1.pdf;64.1;3;
115;MYQ0128OO007;Frontken Corp. Bhd.;1;1996.0;MYS;Y26510100;20060711.0;MYS;06HKDD-E;26.11;MALAYSIA;0128-MY;MYQ0128OO007;B18TLC;Frontken Corp. Bhd.;1.0;0128-MY;1;SHARE;B18TLC4;C;Frontken Corp. Bhd.1.pdf;26.1;3;
672;AU000000MMS5;Mcmillan Shakespeare Limited;1;1988.0;AUS;Q58998107;20040315.0;AUS;006FG8-E;77.11;ASX;MMS-AU;AU000000MMS5;B00G1Q;Mcmillan Shakespeare Limited;1.0;MMS-AU;1;SHARE;B00G1Q0;N;Mcmillan Shakespeare Limited1.pdf;77.1;3;
496;US6075251024;Model N, Inc.;1;1999.0;USA;607525102;20130320.0;USA;062YCW-E;58.29;NYSE;MODN-US;US6075251024;60752510;Model N, Inc.;1.0;MODN-US;1;SHARE;B94Z434;J;Model N, Inc.1.pdf;58.2;3;
537;SG1E32850828;New Toyo International Holdings Ltd;1;1975.0;SGP;Y6304R103;19970404.0;SGP;05JFJM-E;64.2;SINGAPORE;N08-SG;SG1E32850828;663554;New Toyo International Holdings Ltd;1.0;N08-SG;1;SHARE;6635547;K;New Toyo International Holdings Ltd1.pdf;64.2;3;
540;AU000000SWF8;SelfWealth Ltd.;1;2012.0;AUS;Q8458X109;20171123.0;AUS;@NA;66.12;ASX;SWF-AU;AU000000SWF8;BFBFBD;SelfWealth Ltd.;1.0;SWF-AU;1;SHARE;BFBFBD8;K;SelfWealth Ltd.2.pdf;66.1;3;
520;FR0000121204;Wendel SE;1;;FRA;F98370103;20040513.0;FRA;00210Z-E;64.99;US OTC;@NA;FR0000121204;739011;Wendel SE;1.0;WNDLF-US;0;SHARE;B030RN8;K;Wendel SE2.pdf;64.9;3;
497;CA00510L1067;AcuityAds Holdings Inc;1;2009.0;CAN;00510L106;20120720.0;CAN;0DT6RQ-E;58.29;TORONTO;ILLM-CA;CA00510L1067;BP9P4Z;AcuityAds Holdings Inc;1.0;ILLM-CA;1;SHARE;BP9P4Z3;J;AcuityAds Holdings Inc1.pdf;58.2;4;
486;INE898S01029;Aurum Proptech Limited;1;2013.0;IND;Y5400E107;20150819.0;IND;0FMFQV-E;58.29;BSE INDIA;539289-IN;INE898S01029;BYW6D2;Aurum Proptech Limited;1.0;539289-IN;1;SHARE;BYW6D26;J;Aurum Proptech Limited2.pdf;58.2;4;
512;GB00BNG2VN02;Cizzle Biotechnology Holdings PLC;1;2007.0;GBR;G1264V137;20070323.0;GBR;00CYMW-E;64.99;LONDON;CIZ-GB;GB00BNG2VN02;BNG2VN;Cizzle Biotechnology Holdings PLC;1.0;CIZ-GB;1;SHARE;BNG2VN0;K;Cizzle Biotechnology Holdings PLC1.pdf;64.9;4;
283;DE000A0STWH9;Deutsche Eigenheim Union AG;1;2007.0;DEU;D5S20K106;20211230.0;DEU;@NA;41.2;XETRA;JZ6-DE;DE000A0STWH9;BPCK36;Deutsche Eigenheim Union AG;1.0;JZ6-DE;1;SHARE;BPCK369;F;Deutsche Eigenheim Union AG1.pdf;41.2;4;
