,Code,Nbr. of Chunks,Avg. Length,Avg. Score
0,J,1147,585.0959023539668,0.45316610054455586
1,E,2600,533.6503846153846,0.48223286238403906
2,C,2112,562.233428030303,0.44487862280347795
3,R,274,402.7043795620438,0.4440221095699398
4,A,1221,436.36609336609337,0.438465699755075
5,N,3104,437.316043814433,0.43135887963540054
6,P,1217,679.5899753492193,0.4435282595958122
7,B,4754,546.968026924695,0.46879433969600565
8,Q,939,441.506922257721,0.4443278403163694
9,L,5658,466.742135030046,0.4529837921255579
10,F,5592,528.1938483547925,0.4895462123221654
11,D,5327,542.6973906513986,0.4695443048762041
12,I,2528,431.21756329113924,0.4447325493295713
13,G,5311,550.6435699491622,0.4422270038894368
14,T,30,398.8333333333333,0.4455470968671865
15,M,1983,377.6374180534544,0.4401320811149493
16,K,9186,465.7456999782277,0.47778671358613634
17,S,423,387.5697399527187,0.42758127657449124
18,H,5760,495.01180555555555,0.46135569642600227
